award,year,file,url,bytes,category,sub_category,title,creator,page,fetched
Indigo,2024,Indigo_2024_09_8228bcd9_BQPJgcMyuw1zfaQDrZWHRXTU,https://d3crlhnriidvt.cloudfront.net/BQPJgcMyuw1zfaQDrZWHRXTU,82627,Branding,Technology,AccountKit Trade Event Presence,Little Village Creative,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:46
Indigo,2024,Indigo_2024_10_d4b76ffc_tWFBnpH1r2e6re7sENZ77rBU,https://d3crlhnriidvt.cloudfront.net/tWFBnpH1r2e6re7sENZ77rBU,25811,Branding,Technology,BluElement - Rebranding,Grafico,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:47
Indigo,2024,Indigo_2024_11_90395792_eem4H5DNkAWZM3apiVpyAJ5V,https://d3crlhnriidvt.cloudfront.net/eem4H5DNkAWZM3apiVpyAJ5V,460648,Branding,Technology,Momentus Branding,Atomicdust,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:49
Indigo,2024,Indigo_2024_12_14e209fd_xaby6iufhfg42gdl6upa5olmbgre,https://d3crlhnriidvt.cloudfront.net/xaby6iufhfg42gdl6upa5olmbgre,571191,Branding,Technology,Farm Bureau Ag Innovation Challenge Campaign,Farm Credit Council,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:51
Indigo,2024,Indigo_2024_13_3caee4e5_pavsyqr5t4i9ag4srtjqlg7uur3q,https://d3crlhnriidvt.cloudfront.net/pavsyqr5t4i9ag4srtjqlg7uur3q,618811,Branding,Technology,Oracle Redwood Design System,Oracle,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:53
Indigo,2024,Indigo_2024_14_ebb67b94_2ufmhhm2ohlqgstyrd2rq0e15ycs,https://d3crlhnriidvt.cloudfront.net/2ufmhhm2ohlqgstyrd2rq0e15ycs,784526,Branding,Services - Other,CStar Line,Mpire,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:55
Indigo,2024,Indigo_2024_15_d8f1ef48_zp6exjoegom1clhywyf2zdp9utur,https://d3crlhnriidvt.cloudfront.net/zp6exjoegom1clhywyf2zdp9utur,785394,Branding,Services - Other,Aeris Dynamics,Creativeans Pte Ltd,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:57
Indigo,2024,Indigo_2024_16_868bce34_YwsTqkbqFGhhHyqnYZDbThhK,https://d3crlhnriidvt.cloudfront.net/YwsTqkbqFGhhHyqnYZDbThhK,950724,Branding,Services - Other,MOCOM Totally Integrated Communication Agency,MOCOM,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:31:59
Indigo,2024,Indigo_2024_17_e204d0a1_kU53js2LsNy2bFjavRE94WdA,https://d3crlhnriidvt.cloudfront.net/kU53js2LsNy2bFjavRE94WdA,97300,Branding,Services - Other,Vursor Branding,Famous Victory Branding & Design,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:32:01
Indigo,2024,Indigo_2024_18_5e00ab1f_tNFYS9EiqkQw71a74rcbR3dJ,https://d3crlhnriidvt.cloudfront.net/tNFYS9EiqkQw71a74rcbR3dJ,98240,Branding,Services - Other,Berxi Insurance Rebrand,Famous Victory Branding & Design,https://www.indigoaward.com/winners/competition/2024,2026-09-02T23:32:02
Indigo,2020,Indigo_2020_01_682f20e4_00508f76ad0ab905e0a1c025701ffb51.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/4936/image/00508f76ad0ab905e0a1c025701ffb51.jpg,252887,Graphic Design,Branding,GoDaddy Brand,GoDaddy Brand Team,https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:34:39
Indigo,2020,Indigo_2020_02_6a7b1f0d_6d239ce29ca95be4601bff38cd5151c5.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/1618/image/6d239ce29ca95be4601bff38cd5151c5.jpg,300006,Graphic Design,Branding,Destination Paris Bercy,Fanny DE BRAY,https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:34:42
Indigo,2020,Indigo_2020_03_49b588fc_a46ec86fe94186b03079c258ec473779.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/3150/image/a46ec86fe94186b03079c258ec473779.jpg,274441,Graphic Design,Branding,Feals,Herman-Scheer,https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:34:45
Indigo,2020,Indigo_2020_04_ab097035_90da9153430dc4f96a0cd0f414c85781.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/3481/image/90da9153430dc4f96a0cd0f414c85781.jpg,200493,Graphic Design,Branding,Branding Design for the Ladies Purse Day,Clement Young,https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:34:47
Indigo,2020,Indigo_2020_05_eeb9a79f_1ed3b8269ddb5f18ebcf1e6ba3efed4a.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/3283/image/1ed3b8269ddb5f18ebcf1e6ba3efed4a.jpg,3194426,Graphic Design,Branding, Hsu’s Promise,"Triangler Co., Ltd.",https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:34:52
Indigo,2020,Indigo_2020_06_7697f056_fa7d220b663e0b815340a9b5f512c9d5.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/3285/image/fa7d220b663e0b815340a9b5f512c9d5.jpg,390901,Graphic Design,Branding,Deer's Hotpot Bistro,"Triangler Co., Ltd.",https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:34:55
Indigo,2020,Indigo_2020_07_de6f4290_c749c10dab0744f2863536c9caac6223.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/3290/image/c749c10dab0744f2863536c9caac6223.jpg,641929,Graphic Design,Branding,Restau Renaissance,"Triangler Co., Ltd.",https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:34:58
Indigo,2020,Indigo_2020_08_b2aa9575_5936db2f5b5bce563c9844c0962c5bce.jpg,https://indigoawards.s3.amazonaws.com/cache/cover/3284/image/5936db2f5b5bce563c9844c0962c5bce.jpg,3033123,Graphic Design,Branding,Enchantée,"Triangler Co., Ltd.",https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:35:03
Indigo,2020,Indigo_2020_09_506dab18_6a0e01cc624e1f0ccd76466ef919bf2a.png,https://indigoawards.s3.amazonaws.com/cache/cover/3581/image/6a0e01cc624e1f0ccd76466ef919bf2a.png,4095694,Graphic Design,Branding,Luna Atelier Skin,Jackie Huck,https://www.indigoaward.com/winners/competition/2020,2026-09-02T23:35:19
